X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,Y
45129.93,27,0.225797094,1,280.23,kOT,55,21843.1,kC,kM,603,kF,1241.07,1844.07,10000,kU,1,k0,k2,45129.93,23286.83,1463,k29,k10,kD,0.11,14.69,54,kO,kN,k3,0
973,10,2.393545455,0,526.58,kOT,67,0,kD,kS,180,kM,220,400,500,kP,1,k0,k2,973,973,154,k02,k10,kI,5.3,12,66,kO,kA,k3,0
229472.82,2,0.350015562,2,281.15,kOT,59,774.16,kC,kM,295.67,kM,803.25,1098.92,10000,kP,1,k0,k9,229472.82,228698.66,1471,k89,k17,kI,94.89,14.69,62,kO,kN,k3,0
28149,5,0.416101695,0,196.4,kOT,63,7000,kC,kM,378,kM,472,850,7000,kP,1,k0,k8,28149,21149,1466,k08,k17,kD,6.38,14.69,62,kO,kN,k3,0
14661,6,0.243739566,2,146,kOT,38,608,kS,kM,310,kM,599,909,3000,kP,1,k0,k4,14661,14053,734,k08,k10,kD,1039.18,13.99,38,kO,kN,k3,0
68491.97,14,0.382555819,1,243.47,kOT,47,5070.17,kC,kM,409,kM,636.43,1045.43,5000,kN,2,k0,k5,68491.97,63421.8,734,k22,k10,kD,9.15,14.69,49,kO,kN,k3,0
18372,3,0.115549307,2,90.4,kOT,26,11557.97,kC,kM,775,kF,782.35,1557.35,1000,kS,1,k0,k3,18372,6814.03,365,k23,k10,kD,0,14.69,25,kO,kF,k3,0
127060.94,18,0.289653208,3,223.76,kOT,41,25598.78,kC,kM,858.1,kM,772.51,1630.61,6500,kS,1,k0,k7,127060.94,101462.16,1092,k28,k17,kD,16.82,13.99,44,kO,kN,k3,0
38893.84,5,0.526787763,0,275.51,kOT,66,692.95,kC,kM,220,kM,523,743,10000,kP,2,k0,k2,38893.84,38200.89,1454,k26,k10,kD,70.98,13.99,63,kO,kN,k3,0
5000,9,0.49436019,2,208.62,kOT,42,2352,kD,kM,549,kM,422,971,6000,kS,1,k0,k2,5000,2648,1092,k08,k10,kD,201.18,14.69,41,kO,kF,k3,0
